grid_id_10km,grid_id_50km
1278,58
1279,58
1607,58
1608,58
1609,58
1935,58
1936,58
1937,58
1938,58
2263,123
2264,123
2265,124
2266,124
2267,124
2592,123
2593,123
2594,124
2595,124
2921,123
2922,123
2923,124
2924,124
3250,123
3251,123
3252,124
3579,123
3580,123
3724,153
3725,153
3726,153
3727,153
3728,153
3906,189
3907,189
3908,189
3909,189
4052,153
4053,153
4054,153
4055,153
4056,153
4057,153
4058,153
4059,154
4235,189
4236,189
4379,152
4380,152
4381,153
4382,153
4383,153
4384,153
4385,153
4386,153
4387,153
4388,154
4389,154
4390,154
4663,143
4664,143
4707,152
4708,152
4709,152
4710,153
4711,153
4712,153
4713,153
4714,153
4715,153
4716,153
4717,154
4718,154
4719,154
4720,154
4992,143
4993,143
5036,152
5037,152
5038,152
5039,153
5040,153
5041,153
5042,153
5043,153
5044,153
5045,153
5046,154
5047,154
5048,154
5049,154
5220,189
5221,189
5364,218
5365,218
5366,218
5367,218
5368,219
5369,219
5370,219
5371,219
5372,219
5373,219
5374,219
5375,220
5376,220
5377,220
5378,220
5379,220
5549,254
5550,255
5551,255
5552,255
5692,218
5693,218
5694,218
5695,218
5696,218
5697,219
5698,219
5699,219
5700,219
5701,219
5702,219
5703,219
5704,220
5705,220
5706,220
5707,220
5708,220
5878,254
5879,255
5880,255
5881,255
6020,217
6021,218
6022,218
6023,218
6024,218
6025,218
6026,219
6027,219
6028,219
6029,219
6030,219
6031,219
6032,219
6033,220
6034,220
6035,220
6036,220
6037,220
6038,221
6208,255
6209,255
6210,255
6349,217
6350,218
6351,218
6352,218
6353,218
6354,218
6355,219
6356,219
6357,219
6358,219
6359,219
6360,219
6361,219
6362,220
6363,220
6364,220
6365,220
6366,220
6533,254
6534,254
6535,254
6537,255
6538,255
6677,217
6678,217
6679,218
6680,218
6681,218
6682,218
6683,218
6684,219
6685,219
6686,219
6687,219
6688,219
6689,219
6690,219
6691,220
6692,220
6693,220
6694,220
6695,220
6862,254
7006,283
7007,283
7008,283
7009,283
7010,284
7011,284
7012,284
7013,285
7014,285
7015,285
7016,285
7017,285
7018,286
7019,286
7020,286
7021,286
7022,286
7023,286
7024,286
7025,287
7026,287
7190,320
7197,321
7334,283
7335,283
7336,283
7337,283
7338,283
7339,284
7340,284
7341,284
7342,285
7343,285
7344,285
7345,285
7346,285
7347,286
7348,286
7349,286
7350,286
7351,286
7352,286
7353,286
7354,287
7355,287
7356,287
7357,287
7358,287
7367,289
7368,289
7519,320
7525,321
7526,321
7663,283
7664,283
7665,283
7666,283
7667,283
7668,284
7669,284
7670,284
7671,285
7672,285
7673,285
7674,285
7675,285
7676,286
7677,286
7678,286
7679,286
7680,286
7681,286
7682,286
7683,287
7684,287
7685,287
7686,287
7687,287
7688,288
7689,288
7692,289
7693,289
7694,289
7695,289
7696,289
7854,321
7855,321
7991,283
7992,283
7993,283
7994,283
7995,283
7996,283
7997,284
7998,284
7999,284
8000,285
8001,285
8002,285
8003,285
8004,285
8005,286
8006,286
8007,286
8008,286
8009,286
8010,286
8011,286
8012,287
8013,287
8014,287
8015,287
8016,287
8017,288
8018,288
8019,288
8020,289
8021,289
8022,289
8023,289
8024,289
8320,283
8321,283
8322,283
8323,283
8324,283
8325,283
8326,284
8327,284
8328,284
8329,285
8330,285
8331,285
8332,285
8333,285
8334,286
8335,286
8336,286
8337,286
8338,286
8339,286
8340,286
8341,287
8342,287
8343,287
8344,287
8345,287
8346,288
8347,288
8348,288
8349,289
8649,348
8650,349
8651,349
8652,349
8653,350
8654,350
8655,350
8656,350
8657,350
8658,351
8659,351
8660,351
8661,351
8662,351
8663,351
8664,351
8665,352
8666,352
8667,352
8668,352
8669,352
8670,353
8671,353
8672,353
8673,354
